id_producto,stock,precio
1,69.0,2017
2,75.0,155
3,143.0,3106
4,68.0,3909
5,159.0,2821
6,42.0,4797
7,68.0,3105
8,12.0,2621
9,198.0,2621
10,169.0,1405
11,6.0,4159
12,77.0,4239
13,112.0,2417
14,174.0,2140
15,132.0,890
16,99.0,311
17,58.0,4994
18,140.0,1709
19,168.0,728
20,88.0,2224
21,,3770
22,109.0,1287
23,11.0,990
24,88.0,3651
25,32.0,89
26,198.0,813
27,180.0,4785
28,149.0,1322
29,139.0,4207
30,155.0,1924
31,105.0,615
32,47.0,3170
33,130.0,1294
34,90.0,4809
35,185.0,1006
36,145.0,2136
37,,1485
38,117.0,3685
39,160.0,1010
40,57.0,4155
41,88.0,4684
42,198.0,2844
43,60.0,4738
44,127.0,269
45,55.0,4593
46,,2360
47,,4355
48,114.0,3090
49,,3228
50,123.0,3003
51,83.0,2030
52,169.0,737
53,10.0,1051
54,117.0,3663
55,72.0,464
56,136.0,1503
57,124.0,2755
58,65.0,2313
59,46.0,814
60,131.0,4925
61,,3644
62,195.0,951
63,159.0,3385
64,76.0,1443
65,85.0,2304
66,117.0,2066
67,4.0,3356
68,173.0,2434
69,32.0,4090
70,55.0,1832
71,3.0,1551
72,136.0,4241
73,151.0,2587
74,4.0,4614
75,91.0,2719
76,55.0,3729
77,139.0,665
78,2.0,1660
79,135.0,3600
80,117.0,4642
81,176.0,805
82,196.0,2361
83,181.0,650
84,32.0,560
85,111.0,2246
86,166.0,2609
87,31.0,4647
88,106.0,3195
89,5.0,4385
90,75.0,1722
91,168.0,426
92,112.0,2827
93,170.0,4903
94,121.0,1349
95,,3663
96,186.0,2401
97,9.0,729
98,19.0,3860
99,20.0,3451
100,190.0,4347
101,6.0,2698
102,138.0,3899
103,124.0,2517
104,24.0,176
105,63.0,4088
106,188.0,3250
107,195.0,4113
108,54.0,2202
109,181.0,160
110,,1534
111,170.0,2913
112,124.0,4476
113,194.0,2223
114,,265
115,,1121
116,22.0,3473
117,186.0,4345
118,144.0,581
119,117.0,3116
120,149.0,695
121,32.0,4274
122,105.0,4279
123,,2999
124,7.0,2425
125,13.0,910
126,89.0,2815
127,100.0,2436
128,155.0,453
129,9.0,372
130,178.0,1560
131,8.0,159
132,126.0,645
133,107.0,1380
134,64.0,1394
135,111.0,4695
136,161.0,4108
137,74.0,55
138,58.0,965
139,14.0,2551
140,,2474
141,51.0,1233
142,,4582
143,165.0,2353
144,59.0,640
145,176.0,4785
146,158.0,3240
147,19.0,504
148,25.0,2293
149,193.0,4626
150,,4523
151,96.0,3594
152,,3866
153,53.0,3336
154,177.0,2892
155,44.0,2387
156,142.0,4067
157,63.0,4967
158,97.0,783
159,79.0,517
160,102.0,3589
161,5.0,3217
162,140.0,1780
163,31.0,2204
164,72.0,3635
165,87.0,4081
166,71.0,3403
167,139.0,2154
168,,4365
169,164.0,1167
170,140.0,4444
171,158.0,2568
172,150.0,3889
173,16.0,2247
174,105.0,4970
175,70.0,1284
176,185.0,4113
177,169.0,4710
178,15.0,1678
179,10.0,1473
180,105.0,3132
181,153.0,2100
182,19.0,3967
183,184.0,3907
184,23.0,1333
185,,4511
186,121.0,150
187,194.0,1114
188,180.0,3612
189,51.0,3500
190,160.0,1173
191,152.0,1750
192,74.0,2086
193,111.0,3014
194,4.0,2252
195,18.0,1876
196,72.0,1709
197,82.0,2568
198,133.0,693
199,189.0,1128
200,26.0,2655
201,135.0,805
202,57.0,2128
203,117.0,3553
204,107.0,2963
205,6.0,2350
206,168.0,90
207,7.0,1890
208,168.0,480
209,19.0,2407
210,196.0,1525
211,151.0,2079
212,72.0,2975
213,186.0,3470
214,145.0,4209
215,52.0,1369
216,14.0,3287
217,89.0,3724
218,43.0,2699
219,160.0,281
220,,722
221,152.0,3443
222,143.0,2248
223,168.0,754
224,64.0,2948
225,72.0,2089
226,174.0,470
227,71.0,2948
228,,1590
229,151.0,217
230,,2702
231,129.0,759
232,179.0,3149
233,22.0,2696
234,85.0,4477
235,24.0,4187
236,40.0,1928
237,196.0,3953
238,187.0,1012
239,84.0,3720
240,16.0,3073
241,124.0,2886
242,2.0,2938
243,117.0,1820
244,,4587
245,194.0,4587
246,107.0,250
247,102.0,3954
248,63.0,2797
249,46.0,1279
250,6.0,1808
251,153.0,2583
252,,4170
253,61.0,648
254,88.0,1477
255,1.0,4945
256,13.0,3471
257,6.0,3012
258,91.0,371
259,168.0,349
260,172.0,4790
261,120.0,3066
262,65.0,4413
263,142.0,4698
264,178.0,4473
265,174.0,1993
266,179.0,2512
267,2.0,405
268,196.0,119
269,132.0,524
270,70.0,629
271,65.0,3389
272,29.0,1789
273,11.0,3635
274,8.0,1088
275,101.0,2746
276,141.0,2589
277,148.0,2137
278,163.0,853
279,126.0,3809
280,39.0,1523
281,158.0,2365
282,183.0,2827
283,181.0,2126
284,,3533
285,187.0,3387
286,142.0,632
287,65.0,4306
288,143.0,2225
289,44.0,2557
290,89.0,141
291,189.0,2845
292,149.0,1644
293,169.0,823
294,30.0,4759
295,113.0,1436
296,172.0,1816
297,68.0,3791
